date,symbol,open_price,adj_close,volume,FED_RATE,INFLATION_CPI,CONSUMER_CONFIDENCE,SP500,VIX,US10Y,stock_return
2018-01-03,AAPL,40.36735,40.297157,118071600,1.41,248.859,95.7,2713.06,9.15,2.44,-0.0001740571
2018-01-03,GOOGL,53.293827,54.166733,31318000,1.41,248.859,95.7,2713.06,9.15,2.44,0.0170610309
2018-01-03,NVDA,5.045968,5.252899,914704000,1.41,248.859,95.7,2713.06,9.15,2.44,0.0658138191
2018-01-04,NVDA,5.334238,5.280589,583268000,1.41,248.859,95.7,2723.99,9.22,2.46,0.0052713621
2018-01-04,GOOGL,54.443139,54.377136,26052000,1.41,248.859,95.7,2723.99,9.22,2.46,0.0038843665
2018-01-04,AAPL,40.369689,40.484337,89738400,1.41,248.859,95.7,2723.99,9.22,2.46,0.0046449819
2018-01-05,AAPL,40.580269,40.945267,94640000,1.41,248.859,95.7,2743.15,9.22,2.47,0.0113853877
2018-01-05,GOOGL,54.75876,55.098194,30250000,1.41,248.859,95.7,2743.15,9.22,2.47,0.0132603138
2018-01-05,NVDA,5.295424,5.325339,580124000,1.41,248.859,95.7,2743.15,9.22,2.47,0.0084743834
2018-01-08,NVDA,5.448953,5.48851,881216000,1.41,248.859,95.7,2747.71,9.52,2.49,0.0306404568
2018-01-08,GOOGL,55.133429,55.292725,24644000,1.41,248.859,95.7,2747.71,9.52,2.49,0.0035306146
2018-01-08,AAPL,40.793179,40.793179,82271200,1.41,248.859,95.7,2747.71,9.52,2.49,-0.003714426
2018-01-09,AAPL,40.839972,40.788498,86336000,1.41,248.859,95.7,2751.29,10.08,2.55,-0.0001147406
2018-01-09,GOOGL,55.502638,55.222256,26808000,1.41,248.859,95.7,2751.29,10.08,2.55,-0.0012744697
2018-01-09,NVDA,5.493949,5.487027,497000000,1.41,248.859,95.7,2751.29,10.08,2.55,-0.0002701942
2018-01-10,NVDA,5.394561,5.530044,582664000,1.41,248.859,95.7,2748.23,9.82,2.55,0.0078397487
2018-01-10,AAPL,40.514761,40.779148,95839600,1.41,248.859,95.7,2748.23,9.82,2.55,-0.000229227
2018-01-11,AAPL,40.849327,41.010769,74670800,1.41,248.859,95.7,2767.56,9.88,2.54,0.005679883
2018-01-11,GOOGL,55.198435,55.185532,22424000,1.41,248.859,95.7,2767.56,9.88,2.54,0.0017205027
2018-01-11,NVDA,5.562678,5.539933,406032000,1.41,248.859,95.7,2767.56,9.88,2.54,0.0017883408
2018-01-12,NVDA,5.528067,5.512739,359916000,1.41,248.859,95.7,2786.24,10.16,2.55,-0.0049088137
2018-01-12,GOOGL,55.088768,56.108562,38586000,1.41,248.859,95.7,2786.24,10.16,2.55,0.0167259574
2018-01-12,AAPL,41.221345,41.434261,101672400,1.41,248.859,95.7,2786.24,10.16,2.55,0.0103263714
2018-01-16,AAPL,41.623778,41.223686,118263600,1.41,248.859,95.7,2776.42,11.66,2.54,-0.0050821493
2018-01-16,NVDA,5.539191,5.441782,702348000,1.41,248.859,95.7,2776.42,11.66,2.54,-0.0128714076
2018-01-17,NVDA,5.456369,5.555756,538408000,1.41,248.859,95.7,2802.56,11.91,2.57,0.0209442595
2018-01-17,GOOGL,56.391912,56.527885,27830000,1.41,248.859,95.7,2802.56,11.91,2.57,0.0074289702
